asset_candidate_id,page,category,image_file,nearby_text,conversion_strategy,review_status
P004-I01,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I01_p004_img_01.png,Hadley: Anwick: Brushed Oil Rubbed Bronze,mesh_variant_material,unreviewed
P004-I02,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I02_p004_img_02.png,Po Brushed Pewter,mesh_variant_material,unreviewed
P004-I03,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I03_p004_img_03.png,Polished Nickel r,mesh_variant_material,unreviewed
P004-I04,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I04_p004_img_04.png,Brushed Oil B Rubbed Bronze Satin Nickel,mesh_variant_material,unreviewed
P004-I05,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I05_p004_img_05.png,Asher: Stanton: Brushed Chrome R,mesh_variant_material,unreviewed
P004-I06,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I06_p004_img_06.png,Brushed Oil me B Rubbed Bronze,mesh_variant_material,unreviewed
P004-I07,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I07_p004_img_07.png,il Brushed Pewter nze,mesh_variant_material,unreviewed
P004-I08,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I08_p004_img_08.png,Brushed Chrome R Matte Black Po,mesh_variant_material,unreviewed
P004-I09,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I09_p004_img_09.png,Brushed Oil me B Rubbed Bronze Polished Chrome,mesh_variant_material,unreviewed
P004-I10,4,cabinetry_hardware,inventory_images/cabinetry_hardware/P004-I10_p004_img_10.png,il Brushed Pewter nze Satin Nickel ome,mesh_variant_material,unreviewed
P005-I01,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I01_p005_img_01.png,Hadley: Brenton: Brushed Chrome R,mesh_variant_material,unreviewed
P005-I02,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I02_p005_img_02.png,Brushed Chrome R Gun Metal M,mesh_variant_material,unreviewed
P005-I03,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I03_p005_img_03.png,Gun Metal Stanton: Satin Nickel Brenton Knobs:,mesh_variant_material,unreviewed
P005-I04,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I04_p005_img_04.png,Brushed Oil me B Rubbed Bronze,mesh_variant_material,unreviewed
P005-I05,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I05_p005_img_05.png,Brushed Pewter e Polished Chrome,mesh_variant_material,unreviewed
P005-I06,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I06_p005_img_06.png,Brushed Pewter e,mesh_variant_material,unreviewed
P005-I07,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I07_p005_img_07.png,Brushed Oil me B Rubbed Bronze Matte Black Po,mesh_variant_material,unreviewed
P005-I08,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I08_p005_img_08.png,,mesh_variant_material,unreviewed
P005-I09,5,cabinetry_hardware,inventory_images/cabinetry_hardware/P005-I09_p005_img_09.png,,mesh_variant_material,unreviewed
